2023-02-15 03:42:16,532 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-15 03:42:16,534 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-15 03:42:25,666 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-15 03:42:25,666 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-15 03:42:25,666 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-15 03:42:43,287 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-15 03:42:43,289 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-15 03:42:43,289 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2023-02-15 03:42:55,856 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-15 03:42:55,856 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-15 03:42:55,856 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-15 03:43:01,552 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-15 03:43:01,553 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-15 03:43:01,554 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-15 03:43:33,862 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-15 03:43:33,862 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-15 03:43:33,862 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-15 03:43:36,704 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-15 03:44:14,221 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-15 03:44:23,512 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-15 03:44:23,514 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
